model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Thinking,16384,Allianz_2022_report,808.14,7,115.45
Qwen/Qwen3-VL-32B-Thinking,16384,Fresenius SE_2019_report,148.27,7,21.18
Qwen/Qwen3-VL-32B-Thinking,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,439.72,7,62.82
Qwen/Qwen3-VL-32B-Thinking,16384,acuity brands inc_2022_report,523.86,8,65.48
Qwen/Qwen3-VL-32B-Thinking,16384,addtech_2022_report,325.57,9,36.17
Qwen/Qwen3-VL-32B-Thinking,16384,aixtron_2020_report,545.31,7,77.9
Qwen/Qwen3-VL-32B-Thinking,16384,autoneum holding_2019_report,670.74,7,95.82
Qwen/Qwen3-VL-32B-Thinking,16384,bekaert (d) sa_2022_report,713.16,7,101.88
Qwen/Qwen3-VL-32B-Thinking,16384,blackline safety_2021_report,293.37,7,41.91
Qwen/Qwen3-VL-32B-Thinking,16384,cabot corp_2018_report,278.23,7,39.75
Qwen/Qwen3-VL-32B-Thinking,16384,dampskibsselskabet norden_2019_report,209.89,7,29.98
Qwen/Qwen3-VL-32B-Thinking,16384,evolution mining ltd_2020_report,265.69,9,29.52
Qwen/Qwen3-VL-32B-Thinking,16384,fujifilm_2022_report,372.23,7,53.18
Qwen/Qwen3-VL-32B-Thinking,16384,georg fischer ag_2018_report,507.99,9,56.44
Qwen/Qwen3-VL-32B-Thinking,16384,granite construction inc_2020_report,173.59,7,24.8
Qwen/Qwen3-VL-32B-Thinking,16384,h. lundbeck_2021_report,180.23,7,25.75
Qwen/Qwen3-VL-32B-Thinking,16384,hammerson reit_2021_report,153.01,9,17.0
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2018_report,151.66,7,21.67
Qwen/Qwen3-VL-32B-Thinking,16384,inchcape plc_2022_report,477.24,9,53.03
Qwen/Qwen3-VL-32B-Thinking,16384,innospec inc_2020_report,362.87,5,72.57
Qwen/Qwen3-VL-32B-Thinking,16384,kfw_2018_report,407.21,7,58.17
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2017_report,782.65,9,86.96
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2018_report,209.14,9,23.24
Qwen/Qwen3-VL-32B-Thinking,16384,morinaga ltd_2020_report,214.77,7,30.68
Qwen/Qwen3-VL-32B-Thinking,16384,nok corporation_2021_report,329.87,5,65.97
Qwen/Qwen3-VL-32B-Thinking,16384,nordea_2017_report,253.92,9,28.21
Qwen/Qwen3-VL-32B-Thinking,16384,salzgitter ag_2018_report,520.18,7,74.31
Qwen/Qwen3-VL-32B-Thinking,16384,sato oyj_2022_report,435.23,9,48.36
Qwen/Qwen3-VL-32B-Thinking,16384,stantec inc_2019_report,303.82,7,43.4
Qwen/Qwen3-VL-32B-Thinking,16384,toshiba tec corp_2022_report,754.82,9,83.87
Qwen/Qwen3-VL-32B-Thinking,16384,uniper_2019_report,545.15,7,77.88
Qwen/Qwen3-VL-32B-Thinking,16384,varta ag_2021_report,426.8,7,60.97
