model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Instruct,16384,Allianz_2022_report,39.11,7,5.59
Qwen/Qwen3-VL-32B-Instruct,16384,Daimler_2020_report,131.77,9,14.64
Qwen/Qwen3-VL-32B-Instruct,16384,Fresenius SE_2019_report,48.14,7,6.88
Qwen/Qwen3-VL-32B-Instruct,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,77.44,7,11.06
Qwen/Qwen3-VL-32B-Instruct,16384,acuity brands inc_2022_report,17.8,8,2.23
Qwen/Qwen3-VL-32B-Instruct,16384,addtech_2022_report,95.74,9,10.64
Qwen/Qwen3-VL-32B-Instruct,16384,aixtron_2020_report,61.43,7,8.78
Qwen/Qwen3-VL-32B-Instruct,16384,allfunds group_2021_report,24.21,7,3.46
Qwen/Qwen3-VL-32B-Instruct,16384,americold realty inc_2022_report,35.62,9,3.96
Qwen/Qwen3-VL-32B-Instruct,16384,atlas arteria_2019_report,31.06,8,3.88
Qwen/Qwen3-VL-32B-Instruct,16384,autoneum holding_2019_report,29.76,7,4.25
Qwen/Qwen3-VL-32B-Instruct,16384,bekaert (d) sa_2022_report,49.73,7,7.1
Qwen/Qwen3-VL-32B-Instruct,16384,blackline safety_2021_report,23.42,7,3.35
Qwen/Qwen3-VL-32B-Instruct,16384,cabot corp_2018_report,22.33,7,3.19
Qwen/Qwen3-VL-32B-Instruct,16384,cardinal energy ltd_2021_report,36.41,7,5.2
Qwen/Qwen3-VL-32B-Instruct,16384,comerica inc_2019_report,72.55,7,10.36
Qwen/Qwen3-VL-32B-Instruct,16384,cytokinetics inc_2022_report,13.32,9,1.48
Qwen/Qwen3-VL-32B-Instruct,16384,dampskibsselskabet norden_2019_report,33.42,7,4.77
Qwen/Qwen3-VL-32B-Instruct,16384,evolution mining ltd_2020_report,34.1,9,3.79
Qwen/Qwen3-VL-32B-Instruct,16384,fujifilm_2022_report,107.09,7,15.3
Qwen/Qwen3-VL-32B-Instruct,16384,georg fischer ag_2018_report,45.42,9,5.05
Qwen/Qwen3-VL-32B-Instruct,16384,graincorp_2019_report,32.44,7,4.63
Qwen/Qwen3-VL-32B-Instruct,16384,granite construction inc_2020_report,20.2,7,2.89
Qwen/Qwen3-VL-32B-Instruct,16384,h. lundbeck_2021_report,52.99,7,7.57
Qwen/Qwen3-VL-32B-Instruct,16384,hammerson reit_2021_report,29.64,9,3.29
Qwen/Qwen3-VL-32B-Instruct,16384,hang lung properties_2018_report,35.38,9,3.93
Qwen/Qwen3-VL-32B-Instruct,16384,healius ltd_2022_report,17.38,8,2.17
Qwen/Qwen3-VL-32B-Instruct,16384,hudbay minerals inc_2020_report,30.35,9,3.37
Qwen/Qwen3-VL-32B-Instruct,16384,huhtamaki_2018_report,36.67,7,5.24
Qwen/Qwen3-VL-32B-Instruct,16384,huhtamaki_2019_report,35.19,9,3.91
Qwen/Qwen3-VL-32B-Instruct,16384,inchcape plc_2022_report,34.29,9,3.81
Qwen/Qwen3-VL-32B-Instruct,16384,innospec inc_2020_report,35.89,5,7.18
Qwen/Qwen3-VL-32B-Instruct,16384,jetblue airways corp_2019_report,51.59,5,10.32
Qwen/Qwen3-VL-32B-Instruct,16384,jpmorgan chase_2020_report,50.56,7,7.22
Qwen/Qwen3-VL-32B-Instruct,16384,kfw_2018_report,83.64,7,11.95
Qwen/Qwen3-VL-32B-Instruct,16384,kilroy realty_2017_report,37.63,9,4.18
Qwen/Qwen3-VL-32B-Instruct,16384,kilroy realty_2018_report,63.48,9,7.05
Qwen/Qwen3-VL-32B-Instruct,16384,kureha corp_2020_report,36.79,6,6.13
Qwen/Qwen3-VL-32B-Instruct,16384,lundin gold inc_2021_report,25.31,5,5.06
Qwen/Qwen3-VL-32B-Instruct,16384,lundin gold inc_2022_report,37.39,7,5.34
Qwen/Qwen3-VL-32B-Instruct,16384,metro ag_2022_report,38.37,7,5.48
Qwen/Qwen3-VL-32B-Instruct,16384,morinaga ltd_2020_report,88.44,7,12.63
Qwen/Qwen3-VL-32B-Instruct,16384,nippn corp_2022_report,66.4,8,8.3
Qwen/Qwen3-VL-32B-Instruct,16384,nordea_2017_report,23.05,9,2.56
Qwen/Qwen3-VL-32B-Instruct,16384,polaris_2021_report,67.36,9,7.48
Qwen/Qwen3-VL-32B-Instruct,16384,salzgitter ag_2018_report,24.18,7,3.45
Qwen/Qwen3-VL-32B-Instruct,16384,sato oyj_2022_report,109.49,9,12.17
Qwen/Qwen3-VL-32B-Instruct,16384,stantec inc_2019_report,34.17,7,4.88
Qwen/Qwen3-VL-32B-Instruct,16384,sumitomo corporation_2021_report,89.59,9,9.95
Qwen/Qwen3-VL-32B-Instruct,16384,toshiba tec corp_2022_report,28.51,9,3.17
Qwen/Qwen3-VL-32B-Instruct,16384,uniper_2019_report.pdf,31.99,7,4.57
Qwen/Qwen3-VL-32B-Instruct,16384,varta ag_2021_report,30.61,7,4.37
Qwen/Qwen3-VL-32B-Instruct,16384,webuild_2019_report,32.13,9,3.57
Qwen/Qwen3-VL-32B-Instruct,16384,nok corporation_2021_report,18.11,5,3.62
