model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Thinking,16384,Allianz_2022_report,364.28,7,52.04
Qwen/Qwen3-VL-32B-Thinking,16384,Daimler_2020_report,304.62,9,33.85
Qwen/Qwen3-VL-32B-Thinking,16384,Fresenius SE_2019_report,153.85,7,21.98
Qwen/Qwen3-VL-32B-Thinking,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,520.46,7,74.35
Qwen/Qwen3-VL-32B-Thinking,16384,acuity brands inc_2022_report,604.14,8,75.52
Qwen/Qwen3-VL-32B-Thinking,16384,addtech_2022_report,364.43,9,40.49
Qwen/Qwen3-VL-32B-Thinking,16384,aixtron_2020_report,203.8,7,29.11
Qwen/Qwen3-VL-32B-Thinking,16384,allfunds group_2021_report,304.35,7,43.48
Qwen/Qwen3-VL-32B-Thinking,16384,americold realty inc_2022_report,422.36,9,46.93
Qwen/Qwen3-VL-32B-Thinking,16384,atlas arteria_2019_report,167.12,8,20.89
Qwen/Qwen3-VL-32B-Thinking,16384,autoneum holding_2019_report,419.82,7,59.97
Qwen/Qwen3-VL-32B-Thinking,16384,bekaert (d) sa_2022_report,724.2,7,103.46
Qwen/Qwen3-VL-32B-Thinking,16384,blackline safety_2021_report,266.21,7,38.03
Qwen/Qwen3-VL-32B-Thinking,16384,cabot corp_2018_report,215.37,7,30.77
Qwen/Qwen3-VL-32B-Thinking,16384,cardinal energy ltd_2021_report,266.1,7,38.01
Qwen/Qwen3-VL-32B-Thinking,16384,comerica inc_2019_report,667.58,7,95.37
Qwen/Qwen3-VL-32B-Thinking,16384,cytokinetics inc_2022_report,291.97,9,32.44
Qwen/Qwen3-VL-32B-Thinking,16384,dampskibsselskabet norden_2019_report,196.26,7,28.04
Qwen/Qwen3-VL-32B-Thinking,16384,evolution mining ltd_2020_report,251.75,9,27.97
Qwen/Qwen3-VL-32B-Thinking,16384,fujifilm_2022_report,363.12,7,51.87
Qwen/Qwen3-VL-32B-Thinking,16384,georg fischer ag_2018_report,440.02,9,48.89
Qwen/Qwen3-VL-32B-Thinking,16384,graincorp_2019_report,296.83,7,42.4
Qwen/Qwen3-VL-32B-Thinking,16384,granite construction inc_2020_report,142.83,7,20.4
Qwen/Qwen3-VL-32B-Thinking,16384,h. lundbeck_2021_report,234.38,7,33.48
Qwen/Qwen3-VL-32B-Thinking,16384,hammerson reit_2021_report,198.47,9,22.05
Qwen/Qwen3-VL-32B-Thinking,16384,hang lung properties_2018_report,165.96,9,18.44
Qwen/Qwen3-VL-32B-Thinking,16384,healius ltd_2022_report,377.48,8,47.19
Qwen/Qwen3-VL-32B-Thinking,16384,hudbay minerals inc_2020_report,195.64,9,21.74
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2018_report,178.45,7,25.49
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2019_report,139.2,9,15.47
Qwen/Qwen3-VL-32B-Thinking,16384,inchcape plc_2022_report,370.34,9,41.15
Qwen/Qwen3-VL-32B-Thinking,16384,innospec inc_2020_report,234.02,5,46.8
Qwen/Qwen3-VL-32B-Thinking,16384,jetblue airways corp_2019_report,385.6,5,77.12
Qwen/Qwen3-VL-32B-Thinking,16384,jpmorgan chase_2020_report,164.6,7,23.51
Qwen/Qwen3-VL-32B-Thinking,16384,kfw_2018_report,584.37,7,83.48
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2017_report,257.75,9,28.64
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2018_report,728.8,9,80.98
Qwen/Qwen3-VL-32B-Thinking,16384,kureha corp_2020_report,163.37,6,27.23
Qwen/Qwen3-VL-32B-Thinking,16384,lundin gold inc_2021_report,109.55,5,21.91
Qwen/Qwen3-VL-32B-Thinking,16384,lundin gold inc_2022_report,288.15,7,41.16
Qwen/Qwen3-VL-32B-Thinking,16384,metro ag_2022_report,602.19,7,86.03
Qwen/Qwen3-VL-32B-Thinking,16384,morinaga ltd_2020_report,223.26,7,31.89
Qwen/Qwen3-VL-32B-Thinking,16384,nippn corp_2022_report,429.52,8,53.69
Qwen/Qwen3-VL-32B-Thinking,16384,nok corporation_2021_report,279.08,5,55.82
Qwen/Qwen3-VL-32B-Thinking,16384,nordea_2017_report,178.73,9,19.86
Qwen/Qwen3-VL-32B-Thinking,16384,polaris_2021_report,894.45,9,99.38
Qwen/Qwen3-VL-32B-Thinking,16384,salzgitter ag_2018_report,545.22,7,77.89
Qwen/Qwen3-VL-32B-Thinking,16384,sato oyj_2022_report,407.62,9,45.29
Qwen/Qwen3-VL-32B-Thinking,16384,stantec inc_2019_report,148.6,7,21.23
Qwen/Qwen3-VL-32B-Thinking,16384,sumitomo corporation_2021_report,481.79,9,53.53
Qwen/Qwen3-VL-32B-Thinking,16384,toshiba tec corp_2022_report,400.2,9,44.47
Qwen/Qwen3-VL-32B-Thinking,16384,uniper_2019_report,723.01,7,103.29
Qwen/Qwen3-VL-32B-Thinking,16384,varta ag_2021_report,394.17,7,56.31
Qwen/Qwen3-VL-32B-Thinking,16384,webuild_2019_report,574.95,9,63.88
